,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
0,100,0.9,0.62,0.6,0.41,0.64,0.4,0.65,0.31,0.92,0.65,0.96,0.66,0.99,0.83
1,100,0.92,0.58,0.85,0.51,0.67,0.39,0.6,0.29,0.95,0.6,0.96,0.63,0.98,0.72
2,100,0.9,0.72,0.75,0.37,0.71,0.41,0.82,0.47,0.94,0.69,1.0,0.73,1.0,0.8
3,100,0.91,0.61,0.62,0.24,0.7,0.41,0.6,0.37,0.95,0.76,0.96,0.76,1.0,0.91
4,100,0.89,0.69,0.84,0.45,0.74,0.44,0.75,0.55,0.96,0.73,0.94,0.69,0.99,0.86
5,100,0.96,0.65,0.65,0.37,0.67,0.39,0.57,0.3,0.95,0.67,0.93,0.7,0.99,0.86
6,100,0.86,0.61,0.78,0.54,0.72,0.38,0.63,0.29,0.98,0.68,0.97,0.71,1.0,0.89
7,100,0.8,0.55,0.69,0.41,0.71,0.32,0.67,0.31,0.95,0.74,0.96,0.64,1.0,0.83
8,100,0.94,0.61,0.66,0.34,0.67,0.42,0.75,0.38,0.96,0.73,0.94,0.66,0.99,0.84
9,100,0.87,0.42,0.81,0.52,0.63,0.32,0.59,0.24,0.95,0.74,0.96,0.69,0.99,0.83
10,200,0.98,0.835,0.81,0.43,0.67,0.385,0.715,0.35,0.97,0.77,0.9,0.745,0.985,0.815
11,200,0.975,0.765,0.89,0.47,0.715,0.38,0.495,0.255,0.985,0.765,0.975,0.785,0.99,0.86
12,200,0.815,0.685,0.8,0.53,0.665,0.39,0.65,0.365,0.97,0.75,0.975,0.75,0.97,0.805
13,200,0.92,0.71,0.885,0.5,0.725,0.41,0.615,0.315,0.965,0.73,0.97,0.74,0.97,0.77
14,200,0.845,0.675,0.665,0.38,0.705,0.435,0.625,0.33,0.97,0.745,0.975,0.75,0.94,0.8
15,200,0.915,0.67,0.61,0.385,0.685,0.425,0.53,0.28,0.945,0.69,0.955,0.715,0.98,0.765
16,200,0.985,0.835,0.575,0.29,0.66,0.405,0.66,0.285,0.965,0.745,0.98,0.755,0.97,0.815
17,200,0.955,0.665,0.805,0.415,0.675,0.37,0.49,0.215,0.98,0.74,0.995,0.765,0.99,0.82
18,200,0.955,0.75,0.645,0.35,0.705,0.43,0.62,0.31,0.925,0.68,0.96,0.67,0.985,0.775
19,200,0.97,0.74,0.845,0.545,0.67,0.34,0.61,0.29,0.97,0.775,0.98,0.73,0.99,0.835
20,300,0.983,0.873,0.713,0.4,0.683,0.4,0.573,0.297,0.977,0.79,0.97,0.793,0.98,0.82
21,300,0.957,0.76,0.763,0.4,0.68,0.393,0.713,0.33,0.97,0.78,0.983,0.797,0.977,0.8
22,300,0.987,0.87,0.653,0.35,0.657,0.377,0.573,0.32,0.98,0.77,0.99,0.777,0.98,0.79
23,300,0.983,0.823,0.69,0.417,0.663,0.377,0.58,0.363,0.98,0.807,0.973,0.813,0.987,0.85
24,300,0.96,0.77,0.617,0.307,0.703,0.403,0.56,0.29,0.977,0.8,0.98,0.787,0.967,0.847
25,300,0.99,0.823,0.677,0.353,0.687,0.41,0.643,0.3,0.983,0.757,0.98,0.75,0.993,0.843
26,300,0.92,0.697,0.727,0.427,0.69,0.38,0.617,0.373,0.973,0.807,0.987,0.813,0.963,0.803
27,300,0.927,0.713,0.727,0.437,0.67,0.367,0.72,0.41,0.983,0.723,0.98,0.763,0.99,0.83
28,300,0.977,0.793,0.713,0.407,0.7,0.397,0.493,0.233,0.98,0.763,0.98,0.757,0.99,0.82
29,300,0.983,0.75,0.717,0.13,0.707,0.413,0.473,0.253,0.98,0.793,0.98,0.81,0.987,0.86
30,500,1.0,1.0,0.797,0.409,0.681,0.39,0.498,0.239,0.965,0.746,0.966,0.761,0.989,0.808
31,500,1.0,1.0,0.797,0.409,0.679,0.399,0.569,0.252,0.972,0.756,0.983,0.784,0.983,0.817
32,500,1.0,1.0,0.797,0.409,0.662,0.392,0.595,0.323,0.978,0.791,0.968,0.795,0.978,0.802
33,500,1.0,1.0,0.797,0.409,0.674,0.394,0.515,0.313,0.976,0.772,0.979,0.802,0.979,0.812
34,500,1.0,1.0,0.797,0.409,0.683,0.407,0.444,0.248,0.97,0.774,0.976,0.78,0.976,0.808
35,500,1.0,1.0,0.797,0.409,0.696,0.416,0.631,0.321,0.978,0.772,0.983,0.793,0.983,0.83
36,500,1.0,1.0,0.797,0.409,0.679,0.394,0.489,0.252,0.968,0.757,0.979,0.759,0.981,0.804
37,500,1.0,1.0,0.797,0.409,0.683,0.401,0.614,0.323,0.955,0.729,0.955,0.769,0.948,0.802
38,500,1.0,1.0,0.797,0.409,0.675,0.382,0.543,0.317,0.963,0.75,0.968,0.772,0.957,0.761
39,500,1.0,1.0,0.797,0.409,0.659,0.399,0.599,0.371,0.968,0.741,0.985,0.776,0.935,0.81
