,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.228,0.242,0.22,0.697,0.643,0.722,0.077,0.031,0.122,0.169,0.214,0.139,0.834,0.84,0.902,0.11,0.42,0.37
1,0.198,0.224,0.173,0.734,0.653,0.754,0.18,0.038,0.181,0.141,0.19,0.108,0.875,0.822,0.891,0.3,0.37,0.36
2,0.182,0.208,0.153,0.745,0.682,0.761,0.198,0.047,0.208,0.126,0.176,0.097,0.89,0.831,0.897,0.39,0.24,0.39
3,0.172,0.197,0.145,0.748,0.704,0.767,0.208,0.063,0.206,0.115,0.164,0.092,0.905,0.855,0.896,0.47,0.19,0.4
4,0.165,0.188,0.141,0.75,0.711,0.769,0.208,0.067,0.21,0.109,0.156,0.088,0.902,0.839,0.899,0.49,0.16,0.43
5,0.16,0.181,0.139,0.751,0.717,0.773,0.209,0.075,0.209,0.103,0.148,0.087,0.895,0.847,0.892,0.45,0.18,0.41
6,0.156,0.176,0.137,0.752,0.72,0.772,0.209,0.081,0.21,0.099,0.141,0.086,0.894,0.854,0.907,0.44,0.19,0.46
7,0.154,0.171,0.136,0.752,0.727,0.773,0.209,0.092,0.21,0.097,0.136,0.086,0.894,0.874,0.899,0.44,0.35,0.42
8,0.151,0.168,0.135,0.753,0.731,0.774,0.207,0.099,0.211,0.095,0.132,0.086,0.887,0.875,0.899,0.4,0.36,0.41
9,0.149,0.165,0.135,0.762,0.734,0.776,0.212,0.105,0.214,0.094,0.129,0.084,0.894,0.886,0.901,0.39,0.39,0.42
10,0.148,0.162,0.134,0.762,0.736,0.778,0.213,0.113,0.215,0.092,0.125,0.082,0.887,0.891,0.902,0.38,0.42,0.46
11,0.147,0.16,0.133,0.766,0.737,0.778,0.208,0.11,0.213,0.091,0.121,0.082,0.894,0.894,0.886,0.38,0.45,0.43
12,0.146,0.158,0.133,0.767,0.745,0.779,0.211,0.121,0.214,0.09,0.119,0.081,0.885,0.89,0.901,0.36,0.42,0.45
13,0.145,0.157,0.133,0.766,0.746,0.781,0.21,0.121,0.219,0.089,0.116,0.08,0.902,0.881,0.915,0.44,0.44,0.54
14,0.144,0.155,0.132,0.768,0.748,0.781,0.217,0.127,0.218,0.089,0.114,0.081,0.894,0.89,0.9,0.38,0.45,0.49
15,0.143,0.154,0.132,0.767,0.748,0.781,0.207,0.123,0.216,0.089,0.112,0.08,0.895,0.881,0.891,0.4,0.44,0.43
