,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.204,0.25,0.208,0.868,0.576,0.835,0.547,0.038,0.439,0.146,0.221,0.133,0.876,0.65,0.904,0.56,0.04,0.62
1,0.13,0.226,0.122,0.935,0.713,0.916,0.742,0.282,0.68,0.1,0.194,0.064,0.946,0.854,0.956,0.79,0.48,0.82
2,0.094,0.201,0.071,0.951,0.783,0.948,0.799,0.382,0.803,0.078,0.164,0.036,0.962,0.892,0.978,0.84,0.63,0.89
3,0.074,0.174,0.047,0.961,0.836,0.967,0.837,0.426,0.872,0.064,0.137,0.025,0.968,0.902,0.982,0.86,0.65,0.92
4,0.062,0.149,0.033,0.974,0.886,0.978,0.889,0.553,0.906,0.055,0.116,0.018,0.982,0.93,0.988,0.92,0.7,0.94
5,0.053,0.128,0.023,0.977,0.907,0.989,0.902,0.627,0.95,0.048,0.099,0.014,0.986,0.932,0.988,0.94,0.73,0.94
6,0.046,0.112,0.016,0.981,0.921,0.993,0.914,0.666,0.968,0.043,0.089,0.012,0.98,0.942,0.99,0.91,0.77,0.95
7,0.041,0.1,0.013,0.983,0.929,0.994,0.924,0.695,0.97,0.039,0.079,0.01,0.99,0.944,0.99,0.95,0.79,0.95
8,0.037,0.09,0.01,0.985,0.94,0.994,0.93,0.742,0.97,0.036,0.072,0.01,0.986,0.946,0.986,0.94,0.8,0.93
9,0.034,0.082,0.009,0.987,0.949,0.994,0.937,0.774,0.973,0.033,0.066,0.008,0.986,0.956,0.988,0.93,0.81,0.94
10,0.031,0.074,0.008,0.989,0.959,0.995,0.947,0.818,0.973,0.03,0.059,0.008,0.992,0.966,0.988,0.96,0.86,0.94
11,0.029,0.066,0.007,0.989,0.967,0.995,0.948,0.847,0.974,0.028,0.054,0.008,0.992,0.982,0.988,0.96,0.91,0.94
12,0.027,0.059,0.007,0.989,0.976,0.995,0.949,0.892,0.974,0.027,0.048,0.008,0.988,0.986,0.99,0.94,0.93,0.95
13,0.025,0.053,0.006,0.99,0.979,0.995,0.952,0.902,0.974,0.025,0.043,0.009,0.988,0.988,0.984,0.94,0.94,0.92
14,0.024,0.048,0.006,0.99,0.985,0.995,0.954,0.927,0.975,0.024,0.039,0.008,0.99,0.99,0.99,0.95,0.95,0.95
15,0.022,0.043,0.006,0.991,0.989,0.995,0.957,0.943,0.974,0.023,0.036,0.007,0.988,0.992,0.99,0.94,0.96,0.95
16,0.021,0.04,0.006,0.992,0.987,0.996,0.959,0.937,0.978,0.022,0.033,0.007,0.988,0.988,0.99,0.94,0.94,0.95
17,0.02,0.036,0.005,0.991,0.99,0.995,0.958,0.95,0.977,0.02,0.031,0.007,0.988,0.988,0.99,0.94,0.94,0.95
18,0.019,0.034,0.005,0.992,0.99,0.995,0.962,0.949,0.977,0.02,0.029,0.006,0.988,0.988,0.994,0.94,0.94,0.97
19,0.018,0.032,0.005,0.992,0.991,0.996,0.961,0.954,0.98,0.019,0.027,0.007,0.988,0.988,0.992,0.94,0.94,0.96
20,0.017,0.03,0.005,0.992,0.99,0.996,0.961,0.952,0.98,0.018,0.026,0.008,0.99,0.988,0.99,0.95,0.94,0.95
21,0.017,0.028,0.005,0.992,0.99,0.996,0.963,0.952,0.978,0.018,0.025,0.009,0.992,0.99,0.988,0.96,0.95,0.94
22,0.016,0.026,0.005,0.993,0.99,0.996,0.965,0.953,0.981,0.017,0.023,0.007,0.99,0.99,0.992,0.95,0.95,0.96
23,0.015,0.025,0.005,0.993,0.991,0.996,0.965,0.954,0.979,0.016,0.022,0.006,0.99,0.99,0.994,0.95,0.95,0.97
24,0.015,0.024,0.005,0.993,0.991,0.996,0.967,0.955,0.981,0.016,0.022,0.006,0.992,0.988,0.992,0.96,0.94,0.96
25,0.014,0.023,0.004,0.993,0.99,0.996,0.967,0.952,0.981,0.015,0.021,0.006,0.992,0.99,0.992,0.96,0.95,0.96
26,0.014,0.022,0.004,0.993,0.99,0.996,0.966,0.952,0.981,0.015,0.02,0.007,0.992,0.988,0.992,0.96,0.94,0.96
27,0.013,0.021,0.004,0.993,0.991,0.996,0.968,0.955,0.98,0.015,0.02,0.005,0.992,0.99,0.996,0.96,0.95,0.98
28,0.013,0.02,0.004,0.994,0.991,0.996,0.97,0.955,0.981,0.014,0.019,0.007,0.992,0.99,0.99,0.96,0.95,0.95
29,0.012,0.019,0.004,0.993,0.991,0.996,0.967,0.954,0.981,0.014,0.019,0.008,0.992,0.988,0.992,0.96,0.94,0.96
30,0.012,0.019,0.004,0.994,0.992,0.996,0.968,0.959,0.981,0.014,0.018,0.005,0.992,0.99,0.996,0.96,0.95,0.98
31,0.012,0.018,0.004,0.995,0.992,0.997,0.976,0.959,0.984,0.013,0.018,0.006,0.992,0.986,0.996,0.96,0.93,0.98
32,0.011,0.018,0.004,0.994,0.991,0.997,0.97,0.957,0.983,0.013,0.017,0.007,0.992,0.988,0.992,0.96,0.94,0.96
33,0.011,0.017,0.004,0.995,0.992,0.996,0.973,0.959,0.982,0.013,0.017,0.007,0.992,0.986,0.992,0.96,0.93,0.96
34,0.011,0.016,0.004,0.995,0.992,0.997,0.975,0.96,0.983,0.012,0.017,0.006,0.992,0.988,0.994,0.96,0.94,0.97
35,0.011,0.016,0.004,0.994,0.992,0.997,0.973,0.96,0.983,0.012,0.016,0.004,0.992,0.988,0.996,0.96,0.94,0.98
36,0.01,0.016,0.004,0.995,0.992,0.997,0.975,0.961,0.983,0.012,0.016,0.005,0.992,0.986,0.996,0.96,0.93,0.98
37,0.01,0.015,0.004,0.995,0.992,0.997,0.974,0.962,0.983,0.012,0.015,0.005,0.992,0.988,0.996,0.96,0.94,0.98
