,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.202,0.234,0.226,0.856,0.657,0.759,0.462,0.164,0.292,0.149,0.202,0.166,0.864,0.782,0.798,0.5,0.3,0.35
1,0.137,0.209,0.143,0.926,0.762,0.867,0.696,0.265,0.492,0.109,0.175,0.096,0.912,0.834,0.894,0.68,0.39,0.57
2,0.102,0.181,0.091,0.955,0.843,0.935,0.811,0.429,0.73,0.09,0.152,0.065,0.93,0.898,0.932,0.72,0.58,0.69
3,0.082,0.158,0.057,0.968,0.868,0.974,0.853,0.48,0.888,0.076,0.132,0.043,0.948,0.914,0.966,0.8,0.64,0.84
4,0.068,0.139,0.036,0.972,0.887,0.981,0.871,0.522,0.921,0.066,0.115,0.031,0.95,0.92,0.966,0.8,0.66,0.84
5,0.059,0.123,0.025,0.975,0.91,0.986,0.881,0.587,0.933,0.059,0.101,0.026,0.958,0.926,0.976,0.82,0.67,0.88
6,0.052,0.109,0.02,0.977,0.941,0.988,0.894,0.718,0.94,0.054,0.089,0.021,0.966,0.94,0.974,0.84,0.71,0.87
7,0.046,0.096,0.016,0.979,0.955,0.99,0.899,0.783,0.952,0.049,0.08,0.019,0.97,0.958,0.98,0.85,0.8,0.9
8,0.042,0.086,0.014,0.98,0.964,0.99,0.904,0.826,0.952,0.045,0.072,0.017,0.968,0.964,0.98,0.86,0.82,0.9
9,0.038,0.077,0.013,0.982,0.971,0.99,0.917,0.858,0.95,0.042,0.065,0.016,0.976,0.964,0.98,0.88,0.82,0.9
10,0.035,0.069,0.012,0.985,0.975,0.991,0.929,0.88,0.956,0.039,0.059,0.015,0.974,0.964,0.982,0.87,0.82,0.91
11,0.032,0.063,0.011,0.985,0.978,0.992,0.931,0.893,0.958,0.037,0.054,0.014,0.976,0.966,0.982,0.88,0.83,0.91
12,0.03,0.058,0.01,0.986,0.98,0.992,0.933,0.901,0.958,0.035,0.05,0.013,0.97,0.97,0.982,0.86,0.85,0.91
13,0.028,0.053,0.01,0.986,0.983,0.991,0.935,0.916,0.957,0.033,0.047,0.013,0.976,0.97,0.982,0.88,0.85,0.91
