,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.211,0.241,0.225,0.793,0.591,0.686,0.339,0.083,0.166,0.176,0.21,0.176,0.782,0.706,0.786,0.29,0.13,0.29
1,0.165,0.224,0.178,0.845,0.686,0.816,0.46,0.136,0.384,0.152,0.2,0.138,0.83,0.736,0.846,0.4,0.18,0.4
2,0.14,0.206,0.135,0.871,0.723,0.84,0.542,0.186,0.415,0.143,0.186,0.123,0.824,0.752,0.85,0.39,0.19,0.44
3,0.125,0.191,0.115,0.882,0.759,0.858,0.575,0.237,0.478,0.138,0.177,0.113,0.826,0.774,0.85,0.37,0.23,0.47
4,0.115,0.179,0.103,0.881,0.787,0.878,0.553,0.294,0.524,0.13,0.167,0.113,0.828,0.798,0.848,0.4,0.3,0.42
5,0.108,0.168,0.094,0.885,0.81,0.89,0.571,0.34,0.567,0.127,0.159,0.108,0.83,0.81,0.854,0.41,0.35,0.43
6,0.102,0.158,0.086,0.889,0.819,0.899,0.58,0.368,0.592,0.125,0.151,0.107,0.838,0.81,0.85,0.43,0.34,0.42
7,0.098,0.149,0.08,0.89,0.836,0.898,0.585,0.432,0.582,0.121,0.148,0.105,0.84,0.818,0.854,0.43,0.37,0.42
8,0.095,0.142,0.077,0.894,0.839,0.902,0.595,0.438,0.597,0.119,0.143,0.107,0.844,0.814,0.848,0.43,0.36,0.4
9,0.092,0.136,0.075,0.895,0.842,0.907,0.596,0.444,0.625,0.119,0.139,0.105,0.834,0.822,0.85,0.38,0.38,0.41
10,0.089,0.131,0.073,0.898,0.848,0.914,0.598,0.461,0.656,0.116,0.135,0.103,0.834,0.822,0.854,0.39,0.4,0.43
11,0.087,0.127,0.071,0.899,0.855,0.914,0.6,0.471,0.655,0.115,0.134,0.104,0.84,0.816,0.856,0.39,0.37,0.42
12,0.085,0.122,0.07,0.901,0.86,0.917,0.604,0.488,0.664,0.113,0.13,0.106,0.838,0.816,0.852,0.39,0.36,0.42
13,0.084,0.118,0.069,0.9,0.866,0.916,0.605,0.505,0.661,0.113,0.127,0.099,0.848,0.83,0.858,0.43,0.4,0.43
14,0.083,0.114,0.068,0.902,0.87,0.918,0.612,0.525,0.67,0.111,0.123,0.102,0.838,0.836,0.858,0.38,0.43,0.42
15,0.081,0.109,0.067,0.903,0.876,0.916,0.619,0.54,0.662,0.113,0.121,0.098,0.83,0.838,0.864,0.36,0.41,0.45
16,0.08,0.105,0.066,0.903,0.886,0.918,0.614,0.562,0.667,0.11,0.119,0.098,0.838,0.842,0.86,0.39,0.45,0.43
17,0.079,0.101,0.065,0.904,0.895,0.923,0.623,0.598,0.688,0.111,0.117,0.097,0.832,0.834,0.864,0.37,0.41,0.45
18,0.079,0.097,0.065,0.903,0.896,0.92,0.616,0.597,0.677,0.11,0.113,0.093,0.838,0.842,0.868,0.4,0.45,0.47
19,0.078,0.094,0.064,0.905,0.902,0.922,0.626,0.618,0.683,0.111,0.113,0.097,0.83,0.842,0.864,0.37,0.45,0.45
20,0.077,0.091,0.063,0.905,0.907,0.925,0.625,0.644,0.692,0.108,0.111,0.094,0.836,0.844,0.874,0.4,0.47,0.48
21,0.077,0.089,0.063,0.905,0.905,0.924,0.627,0.631,0.691,0.108,0.11,0.091,0.832,0.846,0.872,0.39,0.48,0.48
22,0.076,0.087,0.062,0.909,0.905,0.928,0.645,0.629,0.704,0.11,0.109,0.093,0.844,0.846,0.876,0.41,0.45,0.48
23,0.076,0.085,0.061,0.909,0.907,0.927,0.646,0.635,0.701,0.109,0.109,0.091,0.84,0.842,0.876,0.41,0.46,0.48
24,0.075,0.083,0.062,0.905,0.909,0.929,0.624,0.65,0.712,0.108,0.109,0.095,0.84,0.842,0.868,0.4,0.46,0.45
25,0.075,0.082,0.061,0.907,0.909,0.927,0.633,0.642,0.704,0.109,0.108,0.088,0.84,0.842,0.874,0.41,0.44,0.48
26,0.074,0.081,0.061,0.903,0.908,0.93,0.614,0.642,0.711,0.107,0.108,0.09,0.84,0.842,0.874,0.4,0.45,0.49
27,0.074,0.08,0.06,0.909,0.909,0.93,0.646,0.643,0.714,0.108,0.107,0.087,0.844,0.84,0.88,0.42,0.44,0.49
28,0.074,0.079,0.06,0.909,0.913,0.928,0.643,0.657,0.706,0.107,0.106,0.09,0.848,0.848,0.876,0.41,0.45,0.49
29,0.073,0.078,0.059,0.905,0.913,0.931,0.625,0.655,0.715,0.106,0.105,0.092,0.85,0.848,0.876,0.41,0.42,0.48
30,0.073,0.077,0.059,0.907,0.913,0.93,0.632,0.655,0.711,0.107,0.107,0.09,0.84,0.85,0.874,0.4,0.43,0.48
31,0.073,0.076,0.059,0.909,0.913,0.931,0.645,0.659,0.722,0.107,0.106,0.09,0.842,0.848,0.876,0.4,0.43,0.49
32,0.073,0.076,0.059,0.909,0.914,0.93,0.646,0.661,0.721,0.107,0.104,0.089,0.85,0.85,0.874,0.42,0.43,0.49
33,0.072,0.075,0.058,0.912,0.914,0.931,0.652,0.659,0.72,0.106,0.105,0.091,0.852,0.85,0.87,0.42,0.41,0.46
34,0.072,0.074,0.058,0.91,0.914,0.934,0.647,0.657,0.732,0.109,0.105,0.089,0.84,0.85,0.87,0.41,0.41,0.49
35,0.072,0.074,0.057,0.911,0.913,0.931,0.651,0.658,0.718,0.107,0.106,0.092,0.844,0.846,0.874,0.4,0.41,0.49
36,0.072,0.073,0.057,0.911,0.912,0.934,0.649,0.648,0.726,0.105,0.106,0.086,0.852,0.846,0.878,0.42,0.4,0.51
37,0.072,0.073,0.057,0.911,0.914,0.929,0.656,0.659,0.712,0.107,0.103,0.09,0.844,0.844,0.872,0.39,0.4,0.47
38,0.072,0.072,0.057,0.911,0.916,0.932,0.648,0.663,0.721,0.105,0.103,0.089,0.844,0.854,0.878,0.38,0.41,0.47
39,0.071,0.072,0.057,0.912,0.916,0.932,0.656,0.665,0.722,0.108,0.107,0.085,0.848,0.85,0.884,0.4,0.41,0.53
40,0.071,0.071,0.057,0.911,0.915,0.932,0.649,0.66,0.724,0.106,0.103,0.087,0.85,0.848,0.876,0.41,0.39,0.49
41,0.071,0.071,0.057,0.912,0.916,0.934,0.657,0.666,0.727,0.106,0.105,0.087,0.844,0.846,0.882,0.39,0.4,0.51
42,0.071,0.071,0.056,0.911,0.917,0.934,0.648,0.666,0.727,0.106,0.105,0.088,0.848,0.848,0.88,0.4,0.4,0.51
43,0.071,0.071,0.057,0.911,0.915,0.932,0.651,0.662,0.717,0.107,0.106,0.089,0.848,0.844,0.874,0.4,0.39,0.48
44,0.071,0.07,0.056,0.914,0.917,0.935,0.666,0.673,0.731,0.107,0.105,0.085,0.846,0.848,0.882,0.39,0.4,0.49
45,0.071,0.07,0.056,0.912,0.916,0.936,0.651,0.668,0.734,0.105,0.105,0.088,0.846,0.85,0.882,0.4,0.42,0.49
46,0.071,0.07,0.056,0.914,0.916,0.936,0.665,0.668,0.738,0.107,0.106,0.085,0.852,0.846,0.886,0.41,0.41,0.5
47,0.07,0.069,0.056,0.911,0.916,0.936,0.643,0.665,0.738,0.104,0.103,0.086,0.85,0.85,0.88,0.41,0.4,0.5
48,0.07,0.069,0.056,0.912,0.918,0.934,0.648,0.672,0.729,0.106,0.104,0.088,0.848,0.85,0.874,0.39,0.4,0.47
49,0.07,0.069,0.055,0.912,0.914,0.933,0.65,0.658,0.727,0.106,0.107,0.088,0.852,0.85,0.878,0.42,0.42,0.49
50,0.07,0.069,0.055,0.913,0.919,0.935,0.654,0.674,0.73,0.107,0.105,0.092,0.84,0.854,0.872,0.38,0.43,0.46
51,0.07,0.069,0.055,0.912,0.919,0.934,0.652,0.673,0.727,0.105,0.106,0.088,0.846,0.854,0.882,0.39,0.43,0.51
52,0.07,0.068,0.055,0.911,0.918,0.935,0.642,0.672,0.729,0.105,0.103,0.084,0.85,0.85,0.892,0.4,0.41,0.53
53,0.07,0.069,0.055,0.914,0.917,0.933,0.657,0.667,0.724,0.104,0.106,0.086,0.848,0.85,0.886,0.39,0.41,0.52
54,0.07,0.068,0.055,0.913,0.918,0.935,0.655,0.671,0.733,0.106,0.107,0.086,0.848,0.852,0.884,0.4,0.42,0.51
55,0.07,0.068,0.055,0.911,0.919,0.937,0.647,0.675,0.735,0.104,0.105,0.088,0.848,0.85,0.884,0.4,0.41,0.49
56,0.07,0.068,0.055,0.913,0.916,0.937,0.655,0.662,0.737,0.106,0.104,0.087,0.852,0.854,0.886,0.42,0.43,0.5
57,0.07,0.068,0.055,0.913,0.919,0.935,0.655,0.676,0.734,0.106,0.105,0.088,0.846,0.858,0.884,0.38,0.42,0.51
58,0.07,0.068,0.054,0.912,0.918,0.935,0.645,0.667,0.729,0.105,0.105,0.087,0.852,0.852,0.888,0.41,0.42,0.53
59,0.07,0.068,0.055,0.911,0.917,0.935,0.643,0.666,0.728,0.105,0.104,0.085,0.846,0.858,0.888,0.39,0.43,0.52
60,0.069,0.068,0.055,0.913,0.917,0.937,0.652,0.664,0.737,0.105,0.104,0.088,0.852,0.856,0.88,0.4,0.43,0.49
61,0.069,0.068,0.054,0.914,0.916,0.938,0.657,0.66,0.743,0.108,0.106,0.088,0.846,0.854,0.878,0.39,0.41,0.48
62,0.07,0.068,0.054,0.914,0.916,0.937,0.657,0.661,0.737,0.105,0.106,0.089,0.848,0.85,0.88,0.4,0.41,0.48
63,0.069,0.068,0.054,0.913,0.917,0.936,0.652,0.664,0.734,0.105,0.104,0.087,0.85,0.86,0.88,0.41,0.42,0.49
64,0.069,0.067,0.054,0.914,0.918,0.934,0.657,0.667,0.727,0.105,0.104,0.082,0.852,0.856,0.896,0.41,0.42,0.57
65,0.069,0.067,0.054,0.915,0.918,0.936,0.664,0.668,0.735,0.105,0.103,0.091,0.85,0.856,0.876,0.4,0.42,0.46
66,0.069,0.068,0.054,0.913,0.918,0.936,0.658,0.67,0.737,0.107,0.103,0.085,0.85,0.856,0.886,0.4,0.43,0.51
67,0.069,0.067,0.054,0.914,0.919,0.937,0.655,0.669,0.743,0.105,0.105,0.089,0.854,0.856,0.878,0.42,0.41,0.48
68,0.069,0.067,0.054,0.912,0.918,0.937,0.651,0.667,0.74,0.106,0.104,0.084,0.846,0.858,0.892,0.39,0.42,0.53
69,0.069,0.067,0.054,0.915,0.917,0.934,0.662,0.662,0.722,0.106,0.105,0.083,0.85,0.86,0.894,0.43,0.44,0.56
70,0.069,0.067,0.054,0.914,0.917,0.937,0.659,0.662,0.738,0.105,0.104,0.083,0.852,0.86,0.888,0.41,0.44,0.52
71,0.069,0.067,0.054,0.915,0.917,0.938,0.662,0.665,0.743,0.104,0.102,0.089,0.85,0.868,0.88,0.41,0.45,0.49
72,0.069,0.067,0.054,0.915,0.916,0.937,0.661,0.659,0.742,0.103,0.105,0.087,0.852,0.858,0.884,0.42,0.43,0.51
73,0.069,0.067,0.054,0.915,0.918,0.937,0.663,0.67,0.736,0.107,0.104,0.084,0.856,0.866,0.888,0.43,0.44,0.52
74,0.069,0.067,0.053,0.914,0.917,0.938,0.659,0.663,0.742,0.106,0.105,0.085,0.85,0.86,0.884,0.4,0.43,0.51
75,0.069,0.067,0.053,0.916,0.919,0.936,0.664,0.671,0.733,0.105,0.104,0.085,0.852,0.858,0.884,0.41,0.41,0.52
76,0.069,0.067,0.053,0.915,0.918,0.938,0.663,0.668,0.741,0.104,0.106,0.087,0.852,0.862,0.89,0.42,0.43,0.53
77,0.069,0.067,0.053,0.914,0.918,0.935,0.662,0.666,0.728,0.106,0.105,0.091,0.852,0.858,0.882,0.4,0.42,0.51
78,0.069,0.067,0.054,0.916,0.918,0.936,0.666,0.665,0.729,0.105,0.104,0.091,0.852,0.866,0.882,0.42,0.44,0.49
79,0.069,0.067,0.053,0.917,0.919,0.937,0.669,0.672,0.74,0.105,0.104,0.086,0.858,0.862,0.88,0.44,0.43,0.5
80,0.069,0.067,0.053,0.915,0.917,0.936,0.662,0.665,0.738,0.106,0.107,0.088,0.848,0.858,0.882,0.41,0.42,0.5
81,0.069,0.066,0.053,0.915,0.919,0.939,0.663,0.672,0.747,0.107,0.104,0.084,0.852,0.864,0.892,0.43,0.44,0.54
82,0.069,0.067,0.053,0.916,0.918,0.938,0.667,0.666,0.742,0.106,0.106,0.087,0.856,0.858,0.888,0.43,0.42,0.53
83,0.069,0.066,0.053,0.916,0.918,0.936,0.667,0.669,0.737,0.105,0.105,0.087,0.85,0.86,0.882,0.42,0.43,0.51
84,0.069,0.066,0.053,0.915,0.918,0.936,0.662,0.666,0.731,0.106,0.105,0.085,0.848,0.866,0.888,0.41,0.44,0.53
85,0.069,0.066,0.053,0.916,0.919,0.938,0.666,0.67,0.743,0.106,0.102,0.085,0.852,0.866,0.884,0.42,0.43,0.51
86,0.069,0.066,0.053,0.916,0.919,0.937,0.668,0.671,0.736,0.105,0.104,0.085,0.85,0.864,0.888,0.4,0.43,0.52
87,0.069,0.066,0.053,0.915,0.919,0.94,0.657,0.671,0.748,0.104,0.104,0.086,0.86,0.864,0.888,0.45,0.43,0.52
